user_id,total_session_count,total_category_browse_count,added_to_cart,cart_value,search_count,days_active_last_7,event_count
QB100008,2,1,no,0.0,2,1,7
QB100016,9,10,yes,86.95,11,5,53
QB100017,13,8,yes,115.5,3,6,74
QB100031,18,13,yes,364.5,8,4,75
QB100032,19,9,yes,195.59,6,4,67
QB100037,6,2,no,0.0,4,3,20
QB100042,9,5,yes,230.4,10,4,79
QB100053,6,2,yes,246.92,4,2,8
QB100057,5,7,no,0.0,3,4,16
QB100066,2,1,no,0.0,2,1,2
QB100069,8,5,yes,295.5,11,4,37
QB100077,1,1,no,0.0,2,2,7
QB100084,9,2,no,0.0,2,4,27
QB100087,3,3,no,0.0,3,2,6
QB100093,2,1,no,0.0,0,1,7
QB100098,1,0,no,0.0,1,1,7
QB100100,1,1,no,0.0,0,1,5
QB100105,19,10,yes,244.51,3,7,37
QB100110,1,1,no,0.0,0,1,7
QB100112,5,5,no,0.0,3,4,15
QB100115,2,1,no,0.0,0,2,5
QB100122,2,1,no,0.0,2,2,5
QB100130,4,4,yes,269.06,3,4,30
QB100148,7,6,yes,518.08,3,2,33
QB100150,17,6,yes,698.1,6,4,41
QB100152,1,1,yes,344.98,2,1,11
QB100155,12,13,yes,492.78,7,5,27
QB100172,7,13,yes,327.99,3,6,70
QB100173,14,13,yes,380.12,7,4,62
QB100177,5,5,yes,314.83,1,3,13
QB100182,14,6,yes,223.3,4,5,29
QB100184,17,11,yes,327.68,8,6,41
QB100192,3,5,yes,287.1,4,4,8
QB100197,9,7,yes,236.09,3,3,19
QB100201,9,3,no,0.0,1,2,26
QB100203,19,8,yes,212.32,11,4,21
QB100209,2,2,no,0.0,1,1,10
QB100210,12,12,yes,395.19,5,7,60
QB100214,5,4,no,0.0,3,2,22
QB100216,13,7,yes,289.93,3,6,32
QB100219,1,2,no,0.0,2,1,11
QB100220,2,6,no,0.0,1,3,34
QB100229,7,8,no,0.0,5,4,49
QB100240,3,2,no,0.0,2,1,12
QB100243,4,2,yes,117.39,3,2,6
QB100253,2,0,no,0.0,1,1,2
QB100260,18,4,no,0.0,6,4,63
QB100272,1,1,yes,178.59,1,1,9
QB100277,3,2,yes,309.97,2,1,12
QB100285,1,0,no,0.0,0,1,2
QB100286,12,6,yes,296.73,4,5,35
QB100287,3,3,yes,202.89,3,3,16
QB100289,2,0,no,0.0,0,1,4
QB100296,18,13,no,0.0,3,6,62
QB100304,2,0,no,0.0,2,1,6
QB100305,1,1,yes,221.11,1,1,7
QB100317,3,3,yes,736.78,3,2,22
QB100323,5,5,yes,115.32,2,3,17
QB100326,2,1,no,0.0,0,1,3
QB100327,2,1,no,0.0,1,1,1
QB100328,5,11,yes,217.42,9,6,72
QB100329,3,4,yes,50.41,4,2,21
QB100342,4,5,no,0.0,1,2,21
QB100349,1,0,no,0.0,0,1,4
QB100351,2,0,no,0.0,0,1,2
QB100352,7,10,no,0.0,3,4,25
QB100355,9,8,yes,304.66,8,7,66
QB100362,6,2,yes,244.75,3,4,16
QB100363,6,5,yes,208.68,7,6,25
QB100365,6,11,yes,137.49,5,7,26
QB100380,1,1,no,0.0,0,1,3
QB100390,14,11,yes,122.44,8,4,70
QB100399,4,1,yes,271.34,0,2,14
QB100401,1,3,no,0.0,0,2,12
QB100406,4,3,no,0.0,3,1,13
QB100413,7,6,no,0.0,1,4,9
QB100414,7,5,no,0.0,4,2,30
QB100416,2,1,no,0.0,2,1,5
QB100422,7,7,no,0.0,5,4,10
QB100428,1,1,no,0.0,1,1,3
QB100437,2,2,no,0.0,1,1,12
QB100442,1,1,no,0.0,2,1,6
QB100452,8,10,yes,235.59,9,4,37
QB100453,2,2,no,0.0,1,2,13
QB100458,6,3,yes,148.74,4,4,31
QB100463,17,8,yes,255.86,7,5,50
QB100465,5,14,yes,363.22,9,5,64
QB100476,6,5,no,0.0,4,4,26
QB100483,11,4,no,0.0,7,5,64
QB100493,1,1,no,0.0,1,1,2
QB100495,2,0,no,0.0,2,1,6
QB100496,3,7,no,0.0,3,4,16
QB100503,7,7,yes,114.53,2,2,29
QB100510,4,1,no,0.0,0,1,7
QB100518,2,3,no,0.0,2,2,12
QB100520,8,5,no,0.0,1,3,19
QB100521,7,3,yes,235.51,3,3,33
QB100523,19,6,yes,236.28,4,5,32
QB100525,4,5,no,0.0,4,2,8
QB100528,9,3,no,0.0,4,4,19
QB100534,2,1,no,0.0,2,1,7
QB100539,2,7,no,0.0,1,3,21
QB100541,3,4,yes,268.98,1,2,28
QB100545,6,5,yes,366.56,6,7,73
QB100553,6,8,yes,88.85,3,5,55
QB100559,4,3,yes,137.26,1,1,12
QB100570,18,6,yes,296.16,7,6,59
QB100572,2,6,no,0.0,4,3,11
QB100588,3,5,no,0.0,3,3,10
QB100599,3,3,no,0.0,0,1,8
QB100619,3,7,yes,89.77,3,4,21
QB100626,1,3,no,0.0,2,1,14
