user_id,experiment_group,city,device_os,acquisition_channel,acquisition_cost,first_order_datetime,first_order_value,first_order_delivery_time_mins,first_order_discount_value,first_order_item_count,first_order_payment_method,returned_7d,second_order_datetime,second_order_value,second_order_delivery_time_mins,second_order_discount_value,second_order_item_count,second_order_status,second_order_payment_method,w2_returned,w2_order_value
EXP200001,control,Hyderabad,android,referral,114.77,2025-04-08 19:33:32,269.14,13.7,77.64,2,credit_card,0,,,,,,,,0,
EXP200002,control,Bangalore,android,google_ads,92.54,2025-04-10 20:41:35,439.41,17.5,66.02,5,upi,0,,,,,,,,0,
EXP200003,control,Delhi NCR,ios,offline_events,318.08,2025-04-05 10:52:39,227.71,18.9,68.31,4,upi,0,,,,,,,,0,
EXP200004,control,Chennai,android,meta_ads,177.14,2025-04-08 20:51:56,124.74,18.0,37.42,2,credit_card,1,2025-04-16 00:36:56,562.48,21.3,45.27,9.0,Delivered,cod,1,426.08
EXP200005,control,Hyderabad,android,google_ads,170.45,2025-04-09 11:58:45,229.39,16.1,57.62,3,credit_card,0,,,,,,,,0,
EXP200006,control,Chennai,android,organic_search,80.22,2025-04-10 11:37:02,76.45,12.700000000000001,22.93,1,credit_card,0,,,,,,,,0,
EXP200007,control,Mumbai,android,app_store,25.91,2025-04-08 17:27:57,120.95,13.0,36.28,2,cod,0,,,,,,,,0,
EXP200008,control,Pune,ios,organic_search,57.19,2025-04-05 19:27:55,280.68,12.4,70.14,4,credit_card,1,2025-04-12 13:05:55,282.82,13.1,0.0,5.0,Delivered,upi,1,229.81
EXP200009,control,Pune,android,influencer,150.81,2025-04-07 17:21:32,205.42,10.9,61.63,3,credit_card,1,2025-04-11 23:51:32,320.04,17.9,0.0,6.0,Delivered,credit_card,0,
EXP200010,control,Pune,android,organic_search,28.04,2025-04-09 10:07:42,244.93,8.3,54.5,1,upi,0,,,,,,,,0,
EXP200011,control,Bangalore,android,offline_events,310.04,2025-04-05 08:13:30,305.53,15.3,91.66,2,pay_later,1,2025-04-08 19:16:30,258.36,12.5,0.0,6.0,Delivered,credit_card,0,
EXP200012,control,Mumbai,ios,google_ads,126.49,2025-04-09 01:19:05,128.45,14.4,38.53,1,upi,0,,,,,,,,1,312.67
EXP200013,control,Bangalore,android,offline_events,178.29,2025-04-05 19:41:12,356.71,13.4,75.79,6,debit_card,1,2025-04-07 06:08:12,193.34,18.1,26.91,4.0,Refunded,cod,1,193.79
EXP200014,control,Chennai,ios,organic_search,61.9,2025-04-07 20:53:51,174.0,18.1,52.2,4,upi,1,2025-04-09 09:55:51,561.8,10.7,45.0,9.0,Delivered,credit_card,1,204.05
EXP200015,control,Hyderabad,android,referral,85.56,2025-04-06 17:33:21,460.79,14.9,70.35,3,upi,1,2025-04-09 20:46:21,242.05,,0.0,5.0,Cancelled,upi,1,345.35
EXP200016,control,Mumbai,android,referral,93.72,2025-04-05 18:06:06,101.74,17.1,30.52,2,upi,0,,,,,,,,1,258.19
EXP200017,control,Kolkata,android,google_ads,110.11,2025-04-10 19:09:04,203.08,22.1,60.92,3,pay_later,1,2025-04-16 12:30:04,310.12,14.3,30.17,3.0,Delivered,upi,0,
EXP200018,control,Delhi NCR,android,organic_search,68.16,2025-04-08 15:46:09,267.7,10.1,43.76,4,cod,1,2025-04-11 18:34:09,398.63,15.4,0.0,5.0,Delivered,cod,1,232.06
EXP200019,control,Hyderabad,android,influencer,141.0,2025-04-06 07:39:15,209.7,14.9,62.91,2,credit_card,1,2025-04-09 08:22:15,183.24,17.6,0.0,1.0,Delivered,pay_later,1,280.91
EXP200020,control,Chennai,android,google_ads,138.34,2025-04-07 19:03:35,200.82,17.9,60.25,3,credit_card,0,,,,,,,,0,
EXP200021,control,Bangalore,android,google_ads,143.3,2025-04-05 13:43:27,162.93,15.7,48.88,5,upi,1,2025-04-06 22:04:27,699.08,12.9,0.0,10.0,Delivered,upi,1,304.72
EXP200022,control,Pune,android,app_store,31.04,2025-04-08 20:09:59,162.64,20.5,48.79,4,debit_card,1,2025-04-10 13:56:59,429.06,16.4,0.0,6.0,Delivered,upi,0,
EXP200023,control,Delhi NCR,android,meta_ads,141.87,2025-04-10 20:58:48,356.38,17.6,79.99,4,upi,1,2025-04-12 22:03:48,184.75,18.7,0.0,3.0,Refunded,debit_card,1,765.94
EXP200024,control,Delhi NCR,android,meta_ads,92.94,2025-04-11 23:53:11,107.16,12.6,32.15,1,upi,0,,,,,,,,0,
EXP200025,control,Delhi NCR,android,referral,80.61,2025-04-05 17:08:49,111.87,10.9,33.56,2,cod,0,,,,,,,,0,
EXP200026,control,Hyderabad,android,offline_events,235.16,2025-04-05 08:16:08,273.19,16.5,81.96,5,upi,0,,,,,,,,0,
EXP200027,control,Mumbai,ios,app_store,27.96,2025-04-08 19:19:27,119.74,11.100000000000001,35.92,1,credit_card,1,2025-04-14 11:14:27,315.83,14.7,0.0,1.0,Delivered,cod,0,
EXP200028,control,Bangalore,android,meta_ads,80.45,2025-04-11 18:33:20,281.43,10.8,48.17,5,pay_later,0,,,,,,,,0,
EXP200029,control,Delhi NCR,android,meta_ads,88.02,2025-04-11 21:53:31,88.11,16.5,26.43,2,upi,0,,,,,,,,0,
EXP200030,control,Hyderabad,ios,referral,83.72,2025-04-05 10:47:44,86.86,17.6,26.06,1,pay_later,1,2025-04-09 17:05:44,282.49,12.8,0.0,4.0,Delivered,pay_later,1,290.54
EXP200031,control,Kolkata,android,google_ads,140.99,2025-04-08 21:49:42,99.72,13.7,29.92,1,debit_card,0,,,,,,,,0,
EXP200032,control,Bangalore,android,google_ads,97.1,2025-04-11 15:19:12,254.29,17.7,61.05,3,debit_card,1,2025-04-13 02:30:12,326.84,14.4,0.0,4.0,Delivered,debit_card,1,272.86
EXP200033,control,Chennai,android,offline_events,280.57,2025-04-06 10:14:19,552.26,21.4,92.28,11,credit_card,0,,,,,,,,0,
EXP200034,control,Delhi NCR,android,influencer,145.79,2025-04-07 20:14:47,98.49,14.399999999999999,29.55,2,upi,1,2025-04-09 07:49:47,364.12,16.9,0.0,4.0,Delivered,cod,0,
EXP200035,control,Hyderabad,ios,organic_search,59.82,2025-04-11 08:45:34,190.8,16.2,57.24,1,upi,1,2025-04-13 23:07:34,501.87,17.8,0.0,4.0,Delivered,debit_card,0,
EXP200036,control,Bangalore,android,google_ads,140.49,2025-04-10 12:58:58,161.18,7.7,48.35,1,upi,0,,,,,,,,1,138.01
EXP200037,control,Bangalore,android,app_store,26.75,2025-04-11 20:07:35,221.39,17.4,65.26,4,upi,1,2025-04-17 12:04:35,335.07,7.3,0.0,3.0,Delivered,upi,1,160.74
EXP200038,control,Delhi NCR,android,google_ads,72.88,2025-04-11 21:43:28,299.08,13.2,88.45,1,credit_card,0,,,,,,,,0,
EXP200039,control,Mumbai,android,google_ads,170.95,2025-04-11 10:47:38,216.58,13.8,64.97,1,credit_card,1,2025-04-16 12:40:38,823.71,19.0,59.43,13.0,Delivered,pay_later,0,
EXP200040,control,Delhi NCR,android,google_ads,113.57,2025-04-09 13:22:50,191.29,12.0,57.39,4,upi,0,,,,,,,,0,
EXP200041,control,Mumbai,android,organic_search,58.03,2025-04-10 11:59:41,194.61,18.3,58.38,2,upi,0,,,,,,,,0,
EXP200042,control,Chennai,ios,organic_search,51.91,2025-04-05 19:46:01,155.42,15.100000000000001,46.63,1,upi,1,2025-04-13 02:35:01,197.6,,0.0,1.0,Cancelled,upi,1,391.4
EXP200043,control,Bangalore,ios,referral,78.31,2025-04-09 20:19:29,233.7,15.0,57.54,5,upi,0,,,,,,,,0,
EXP200044,control,Delhi NCR,ios,google_ads,136.14,2025-04-10 09:21:33,187.88,9.7,46.39,1,credit_card,0,,,,,,,,0,
EXP200045,control,Kolkata,android,organic_search,61.97,2025-04-07 09:29:45,214.85,18.4,64.45,1,upi,0,,,,,,,,0,
EXP200046,control,Pune,android,app_store,20.5,2025-04-07 11:34:58,289.03,23.900000000000002,81.46,8,upi,0,,,,,,,,0,
EXP200047,control,Chennai,android,organic_search,60.36,2025-04-11 20:35:29,203.93,15.8,53.94,2,debit_card,1,2025-04-13 10:57:29,329.59,11.8,0.0,5.0,Delivered,upi,1,238.0
EXP200048,control,Hyderabad,android,offline_events,93.39,2025-04-10 19:53:20,214.92,13.0,64.48,5,upi,0,,,,,,,,0,
EXP200049,control,Bangalore,ios,google_ads,137.05,2025-04-05 07:34:22,131.92,14.1,39.58,1,credit_card,0,,,,,,,,0,
EXP200050,control,Hyderabad,android,offline_events,299.69,2025-04-05 22:58:23,326.72,14.4,54.79,3,upi,0,,,,,,,,0,
EXP200051,control,Bangalore,ios,meta_ads,129.5,2025-04-05 14:41:13,226.84,6.0,68.05,2,upi,1,2025-04-07 23:10:13,173.36,17.2,0.0,1.0,Delivered,upi,0,
EXP200052,control,Hyderabad,ios,meta_ads,121.61,2025-04-11 10:27:36,261.19,21.8,59.49,3,upi,0,,,,,,,,0,
EXP200053,control,Pune,android,organic_search,75.88,2025-04-10 20:52:42,362.77,15.700000000000001,81.99,4,cod,1,2025-04-15 06:45:42,263.33,23.299999999999997,0.0,3.0,Delivered,cod,1,314.65
EXP200054,control,Pune,android,app_store,20.8,2025-04-05 15:26:30,173.72,11.6,52.12,1,cod,0,,,,,,,,0,
EXP200055,control,Hyderabad,android,organic_search,21.33,2025-04-08 11:53:29,149.94,21.5,44.98,3,upi,0,,,,,,,,0,
EXP200056,control,Ahmedabad,android,meta_ads,92.05,2025-04-06 16:17:50,157.39,16.8,47.22,1,cod,0,,,,,,,,0,
EXP200057,control,Delhi NCR,android,app_store,34.25,2025-04-11 10:50:47,241.55,17.599999999999998,57.58,2,cod,0,,,,,,,,0,
EXP200058,control,Bangalore,ios,influencer,144.4,2025-04-11 21:03:03,212.76,15.1,63.83,4,pay_later,0,,,,,,,,0,
EXP200059,control,Mumbai,android,organic_search,67.65,2025-04-06 17:19:53,224.1,13.8,42.32,6,cod,0,,,,,,,,0,
EXP200060,control,Mumbai,ios,meta_ads,124.21,2025-04-08 17:59:18,214.64,8.2,64.39,3,cod,1,2025-04-10 20:37:18,845.67,20.9,0.0,12.0,Delivered,upi,0,
EXP200061,control,Bangalore,android,organic_search,42.88,2025-04-07 21:47:29,195.49,8.0,48.07,3,credit_card,1,2025-04-12 17:29:29,920.17,,0.0,10.0,Cancelled,upi,1,457.82
EXP200062,control,Hyderabad,android,referral,68.42,2025-04-07 20:53:03,86.46,18.8,25.94,2,upi,0,,,,,,,,0,
EXP200063,control,Delhi NCR,ios,meta_ads,122.18,2025-04-05 20:30:58,206.63,16.0,61.99,2,upi,0,,,,,,,,0,
EXP200064,control,Pune,android,google_ads,98.89,2025-04-05 22:13:10,266.83,11.1,43.71,4,upi,0,,,,,,,,0,
EXP200065,control,Mumbai,ios,organic_search,40.56,2025-04-07 09:37:23,92.36,19.0,27.71,1,upi,0,,,,,,,,0,
EXP200066,control,Hyderabad,android,influencer,186.14,2025-04-11 10:42:22,166.15,17.4,49.84,1,upi,0,,,,,,,,0,
EXP200067,control,Bangalore,android,offline_events,251.6,2025-04-11 20:29:08,149.9,18.900000000000002,44.97,1,cod,0,,,,,,,,0,
EXP200068,control,Hyderabad,ios,app_store,37.25,2025-04-10 20:49:14,369.88,14.7,40.58,6,upi,0,,,,,,,,0,
EXP200069,control,Delhi NCR,android,meta_ads,84.57,2025-04-09 10:43:47,238.34,15.6,48.8,3,upi,0,,,,,,,,0,
EXP200070,control,Chennai,android,google_ads,100.12,2025-04-07 20:33:32,274.6,20.1,81.49,4,upi,0,,,,,,,,0,
EXP200071,control,Kolkata,android,google_ads,71.11,2025-04-07 09:54:07,242.04,16.8,72.61,4,cod,0,,,,,,,,0,
EXP200072,control,Bangalore,android,referral,70.98,2025-04-05 13:10:18,159.27,11.3,47.78,2,cod,1,2025-04-07 17:56:18,429.96,13.3,0.0,5.0,Delivered,upi,1,243.62
EXP200073,control,Hyderabad,android,google_ads,111.63,2025-04-07 11:03:26,122.19,17.5,36.66,1,upi,1,2025-04-11 20:41:26,168.84,17.6,24.81,5.0,Delivered,debit_card,0,
EXP200074,control,Bangalore,ios,meta_ads,107.79,2025-04-11 20:56:00,306.12,15.6,65.73,4,upi,1,2025-04-18 17:04:00,138.82,17.9,14.2,2.0,Delivered,upi,1,323.19
EXP200075,control,Bangalore,android,meta_ads,120.43,2025-04-05 15:48:25,142.51,13.4,42.75,2,upi,1,2025-04-10 20:38:25,511.29,17.7,69.25,14.0,Delivered,upi,1,124.08
EXP200076,control,Bangalore,android,app_store,35.2,2025-04-11 09:26:31,349.54,10.3,77.13,9,debit_card,0,,,,,,,,0,
EXP200077,control,Bangalore,ios,referral,60.57,2025-04-11 20:45:59,292.33,10.8,71.42,3,upi,0,,,,,,,,0,
EXP200078,control,Pune,ios,google_ads,153.65,2025-04-10 18:42:54,191.37,21.5,57.41,1,upi,0,,,,,,,,0,
EXP200079,control,Bangalore,android,influencer,224.21,2025-04-08 10:36:27,273.4,15.2,69.65,3,upi,1,2025-04-13 16:38:27,322.13,14.5,0.0,1.0,Delivered,debit_card,0,
EXP200080,control,Bangalore,android,referral,91.78,2025-04-08 19:23:40,238.37,16.5,71.51,3,upi,1,2025-04-11 13:42:40,288.38,19.5,28.01,7.0,Delivered,upi,0,
EXP200081,control,Bangalore,android,meta_ads,156.73,2025-04-08 12:04:46,469.39,13.8,63.95,9,upi,1,2025-04-11 21:46:46,462.77,8.3,0.0,3.0,Delivered,upi,0,
EXP200082,control,Pune,ios,influencer,101.78,2025-04-09 13:46:55,229.73,10.9,67.63,6,upi,1,2025-04-13 21:15:55,529.52,14.4,0.0,9.0,Delivered,upi,1,736.07
EXP200083,control,Bangalore,android,organic_search,71.8,2025-04-10 05:07:10,131.56,15.2,39.47,3,upi,1,2025-04-12 09:19:10,418.38,18.5,0.0,5.0,Delivered,upi,1,418.64
